Journal	Top 5 Dummy	Date	Role	First name	Surname	Affiliation 1	Country 1	Continent 1	Location 1	lat	lon	Affiliation 2	Country 2	Continent 2	Location 2	lat2	lon2
AEJ: Microeconomics	0	31/7/20	Co-editor	John	Asker	UCLA	USA	North America	34.068961, -118.445084	34.068961	-118.445084						
AEJ: Microeconomics	0	31/7/20	Co-editor	Leslie	Marx	Duke, Durham, South Carolina	USA	North America	36.001426, -78.938349	36.001426	-78.938349						
AEJ: Microeconomics	0	31/7/20	Co-editor	Robert	Porter	Northwestern, Evanston, Illinois	USA	North America	42.056483, -87.675113	42.056483	-87.675113						
AEJ: Microeconomics	0	31/7/20	Editor	Leeat	Yariv	Princeton	USA	North America	40.343139, -74.655127	40.343139	-74.655127						
AEJ: Microeconomics	0	31/7/20	Editorial Board	Nikhil	Agarwal	MIT, Cambridge, Massachusetts	USA	North America	42.359964, -71.094348	42.359964	-71.094348						
AEJ: Microeconomics	0	31/7/20	Editorial Board	Marina	Agranov	Caltech, Pasadena, California	USA	North America	34.137560, -118.125376	34.13756	-118.125376						
AEJ: Microeconomics	0	31/7/20	Editorial Board	Costas	Arkolakis	Yale, New Haven, Connecticut	USA	North America	41.316349, -72.922392	41.316349	-72.922392						
AEJ: Microeconomics	0	31/7/20	Editorial Board	Mariagiovanna	Baccara	Washington University in St. Louis, Missouri	USA	North America	38.648848, -90.310692	38.648848	-90.310692						
AEJ: Microeconomics	0	31/7/20	Editorial Board	Alessandro	Bonatti	MIT, Cambridge, Massachusetts	USA	North America	42.359964, -71.094349	42.359964	-71.094349						
AEJ: Microeconomics	0	31/7/20	Editorial Board	Eric	Budish	Chicago	USA	North America	41.788584, -87.598888	41.788584	-87.598888						
AEJ: Microeconomics	0	31/7/20	Editorial Board	Joyee	Deb	Yale, New Haven, Connecticut	USA	North America	41.316349, -72.922393	41.316349	-72.922393						
AEJ: Microeconomics	0	31/7/20	Editorial Board	Wouter	Dessein	Columbia, New York, New York	USA	North America	40.807511, -73.962662	40.807511	-73.962662						
AEJ: Microeconomics	0	31/7/20	Editorial Board	Guillaume	Frechette	NYU, New York, NY	USA	North America	40.729542, -73.996563	40.729542	-73.996563						
AEJ: Microeconomics	0	31/7/20	Editorial Board	Matias	Iaryczower	Princeton	USA	North America	40.343139, -74.655128	40.343139	-74.655128						
AEJ: Microeconomics	0	31/7/20	Editorial Board	Robin	Lee	Harvard, Cambridge	USA	North America	42.376971, -71.116740	42.376971	-71.11674						
AEJ: Microeconomics	0	31/7/20	Editorial Board	Simon	Loertscher	Melbourne	Australia	Australasia	-37.798401, 144.960910	-37.798401	144.96091						
AEJ: Microeconomics	0	31/7/20	Editorial Board	Aviv	Nevo	University of Pennsylvania, Philadelphia	USA	North America	39.952206, -75.193453	39.952206	-75.193453						
AEJ: Microeconomics	0	31/7/20	Editorial Board	Marzena	Rostek	Wisconsin, Madison	USA	North America	43.076647, -89.412642	43.076647	-89.412642						
AEJ: Microeconomics	0	31/7/20	Editorial Board	Philipp	Strack	Yale, New Haven, Connecticut	USA	North America	41.316349, -72.922394	41.316349	-72.922394						
AEJ: Microeconomics	0	31/7/20	Editorial Board	Steven	Tadelis	UC Berkeley	USA	North America	37.872026, -122.258383	37.872026	-122.258383						
AEJ: Microeconomics	0	31/7/20	Editorial Board	Laura	Veldkamp	Columbia, New York, New York	USA	North America	40.807511, -73.962663	40.807511	-73.962663						
AEJ: Microeconomics	0	31/7/20	Editorial Board	Alexander	Wolitzky	MIT, Cambridge, Massachusetts	USA	North America	42.359964, -71.094350	42.359964	-71.09435						
AER	1	1/8/20	Co-editor	Roland	Benabou	Princeton	USA	North America	40.343139, -74.655129	40.343139	-74.655129						
AER	1	1/8/20	Co-editor	Sylvain	Chassang	NYU, New York, NY	USA	North America	40.729542, -73.996564	40.729542	-73.996564						
AER	1	1/8/20	Co-editor	Stefano	DellaVigna	UC Berkeley	USA	North America	37.872026, -122.258384	37.872026	-122.258384						
AER	1	1/8/20	Co-editor	Liran	Einav	Stanford, California	USA	North America	37.427436, -122.169766	37.427436	-122.169766						
AER	1	1/8/20	Co-editor	Jeffrey	Ely	Northwestern, Evanston, Illinois	USA	North America	42.056483, -87.675114	42.056483	-87.675114						
AER	1	1/8/20	Co-editor	Mikhail	Golosov	Chicago	USA	North America	41.788584, -87.598889	41.788584	-87.598889						
AER	1	1/8/20	Co-editor	Pierre-Olivier	Gourinchas	UC Berkeley	USA	North America	37.872026, -122.258385	37.872026	-122.258385						
AER	1	1/8/20	Co-editor	Henrik	Kleven	Princeton	USA	North America	40.343139, -74.655130	40.343139	-74.65513						
AER	1	1/8/20	Co-editor	Thomas	Lemieux	UBC, Vancouver	Canada	North America	49.260584, -123.245973	49.260584	-123.245973						
AER	1	1/8/20	Co-editor	Emi	Nakamura	UC Berkeley	USA	North America	37.872026, -122.258386	37.872026	-122.258386						
AER	1	1/8/20	Editor	Esther	Duflo	MIT, Cambridge, Massachusetts	USA	North America	42.359964, -71.094351	42.359964	-71.094351						
AER	1	1/8/20	Editorial Board	Nageeb	Ali	Pennsylvania State University, State College, Pennsylvania	USA	North America	40.798132, -77.860241	40.798132	-77.860241						
AER	1	1/8/20	Editorial Board	Manuel	Amador	Federal Reserve Bank of Minneapolis	USA	North America	44.984649, -93.267256	44.984649	-93.267256						
AER	1	1/8/20	Editorial Board	Isaiah	Andrews	Harvard, Cambridge	USA	North America	42.376971, -71.116741	42.376971	-71.116741						
AER	1	1/8/20	Editorial Board	David	Atkin	MIT, Cambridge, Massachusetts	USA	North America	42.359964, -71.094352	42.359964	-71.094352						
AER	1	1/8/20	Editorial Board	Ned	Augenblick	UC Berkeley	USA	North America	37.872026, -122.258387	37.872026	-122.258387						
AER	1	1/8/20	Editorial Board	Eduardo	Azevedo	University of Pennsylvania, Philadelphia	USA	North America	39.952206, -75.193454	39.952206	-75.193454						
AER	1	1/8/20	Editorial Board	Martha	Bailey	Michigan, Ann Arbor, Michigan	USA	North America	42.278083, -83.738332	42.278083	-83.738332						
AER	1	1/8/20	Editorial Board	Heski	Bar-Isaac	Toronto	Canada	North America	43.665216, -79.396173	43.665216	-79.396173						
AER	1	1/8/20	Editorial Board	Daniel	Benjamin	UCLA	USA	North America	34.068961, -118.445085	34.068961	-118.445085						
AER	1	1/8/20	Editorial Board	Aislinn	Bohren	University of Pennsylvania, Philadelphia	USA	North America	39.952206, -75.193455	39.952206	-75.193455						
AER	1	1/8/20	Editorial Board	Leah	Boustan	Princeton	USA	North America	40.343139, -74.655131	40.343139	-74.655131						
AER	1	1/8/20	Editorial Board	Ariel	Burstein	UCLA	USA	North America	34.068961, -118.445086	34.068961	-118.445086						
AER	1	1/8/20	Editorial Board	Steven	Callander	Stanford, California	USA	North America	37.427436, -122.169767	37.427436	-122.169767						
AER	1	1/8/20	Editorial Board	Gabriel	Carroll	Stanford, California	USA	North America	37.427436, -122.169768	37.427436	-122.169768						
AER	1	1/8/20	Editorial Board	Alessandra	Casella	Columbia, New York, New York	USA	North America	40.807511, -73.962664	40.807511	-73.962664						
AER	1	1/8/20	Editorial Board	Arun	Chandrasekhar	Stanford, California	USA	North America	37.427436, -122.169769	37.427436	-122.169769						
AER	1	1/8/20	Editorial Board	Arnaud	Costinot	MIT, Cambridge, Massachusetts	USA	North America	42.359964, -71.094353	42.359964	-71.094353						
AER	1	1/8/20	Editorial Board	Gordon	Dahl	UC San Diego	USA	North America	32.880223, -117.234099	32.880223	-117.234099						
AER	1	1/8/20	Editorial Board	Geoffrey	De Clippel	Brown, Providence, Rhode Island	USA	North America	41.826732, -71.402475	41.826732	-71.402475						
AER	1	1/8/20	Editorial Board	Matthias	Doepke	Northwestern, Evanston, Illinois	USA	North America	42.056483, -87.675115	42.056483	-87.675115						
AER	1	1/8/20	Editorial Board	Federico	Echenique	Caltech, Pasadena, California	USA	North America	34.137560, -118.125376	34.13756	-118.125376						
AER	1	1/8/20	Editorial Board	Georgy	Egorov	Northwestern, Evanston, Illinois	USA	North America	42.056483, -87.675116	42.056483	-87.675116						
AER	1	1/8/20	Editorial Board	Patrick	Francois	UBC, Vancouver	Canada	North America	49.260584, -123.245974	49.260584	-123.245974						
AER	1	1/8/20	Editorial Board	Michael	Grubb	UCL	UK	Europe	51.524643, -0.134039	51.524643	-0.134039						
AER	1	1/8/20	Editorial Board	Marina	Halac	Yale, New Haven, Connecticut	USA	North America	41.316349, -72.922395	41.316349	-72.922395						
AER	1	1/8/20	Editorial Board	Bard	Harstad	Oslo	Norway	Europe	59.939988, 10.721621	59.939988	10.721621	Toulouse	France	Europe	43.605413, 1.431882	43.605413	1.431882
AER	1	1/8/20	Editorial Board	Nagore	Iriberri	University of the Basque Country, Bilbao	Spain	Europe	43.337386, -2.969921	43.337386	-2.969921						
AER	1	1/8/20	Editorial Board	Oleg	Itskhoki	UCLA	USA	North America	34.068961, -118.445087	34.068961	-118.445087						
AER	1	1/8/20	Editorial Board	Sebnem	Kalemli-Ozcan	Maryland, College Park, Maryland	USA	North America	38.986931, -76.942587	38.986931	-76.942587						
AER	1	1/8/20	Editorial Board	Loukas	Karabarbounis	Minnesota, Minneapolis, Minnesota	USA	North America	44.974043, -93.227857	44.974043	-93.227857	Federal Reserve Bank of Minneapolis	USA	North America	44.984649, -93.267257	44.984649	-93.267257
AER	1	1/8/20	Editorial Board	Brian	Knight	Brown, Providence, Rhode Island	USA	North America	41.826732, -71.402476	41.826732	-71.402476						
AER	1	1/8/20	Editorial Board	Botond	Koszegi	Central European University, Budapest	Hungary	Europe	47.500416, 19.049655	47.500416	19.049655						
AER	1	1/8/20	Editorial Board	Arvind	Krishnamurthy	Stanford, California	USA	North America	37.427436, -122.169770	37.427436	-122.16977						
AER	1	1/8/20	Editorial Board	Qinmin	Liu	Columbia, New York, New York	USA	North America	40.807511, -73.962665	40.807511	-73.962665						
AER	1	1/8/20	Editorial Board	Guido	Lorenzoni	Northwestern, Evanston, Illinois	USA	North America	42.056483, -87.675117	42.056483	-87.675117						
AER	1	1/8/20	Editorial Board	Jens	Ludwig	Chicago	USA	North America	41.788584, -87.598890	41.788584	-87.59889						
AER	1	1/8/20	Editorial Board	Filip	Matejka	CERGE-EI, Charles University, Prague	Czech Republic	Europe	50.083297, 14.428955	50.083297	14.428955						
AER	1	1/8/20	Editorial Board	Ellen	McGrattan	Minnesota, Minneapolis, Minnesota	USA	North America	44.974043, -93.227858	44.974043	-93.227858	Federal Reserve Bank of Minneapolis	USA	North America	44.984649, -93.267259	44.984649	-93.267259
AER	1	1/8/20	Editorial Board	Alisdair	McKay	Federal Reserve Bank of Minneapolis	USA	North America	44.984649, -93.267257	44.984649	-93.267257						
AER	1	1/8/20	Editorial Board	Moritz	Meyer-ter-Vehn	UCLA	USA	North America	34.068961, -118.445088	34.068961	-118.445088						
AER	1	1/8/20	Editorial Board	Brent	Neiman	Chicago	USA	North America	41.788584, -87.598891	41.788584	-87.598891						
AER	1	1/8/20	Editorial Board	Ryan	Oprea	UC Santa Barbara	USA	North America	34.413892, -119.849095	34.413892	-119.849095						
AER	1	1/8/20	Editorial Board	Philip	Oreopoulos	Toronto	Canada	North America	43.665216, -79.396174	43.665216	-79.396174						
AER	1	1/8/20	Editorial Board	Juan	Ortner	Boston University	USA	North America	42.350389, -71.105497	42.350389	-71.105497						
AER	1	1/8/20	Editorial Board	Pietro	Ortoleva	Princeton	USA	North America	40.343139, -74.655132	40.343139	-74.655132						
AER	1	1/8/20	Editorial Board	Amanda	Pallais	Harvard, Cambridge	USA	North America	42.376971, -71.116742	42.376971	-71.116742						
AER	1	1/8/20	Editorial Board	Antonio	Penta	Pompeu Fabra, Barcelona	Spain	Europe	41.379177, 2.179593	41.379177	2.179593	Barcelona GSE	Spain	Europe	41.389881, 2.189712	41.389881	2.189712
AER	1	1/8/20	Editorial Board	Eduardo	Perez-Richet	Sciences Po, Paris	France	Europe	48.853976, 2.328742	48.853976	2.328742						
AER	1	1/8/20	Editorial Board	Fabrizio	Perri	Federal Reserve Bank of Minneapolis	USA	North America	44.984649, -93.267258	44.984649	-93.267258						
AER	1	1/8/20	Editorial Board	Thomas	Philippon	NYU, New York, NY	USA	North America	40.729542, -73.996565	40.729542	-73.996565						
AER	1	1/8/20	Editorial Board	Ronny	Razin	LSE	UK	Europe	51.514479, -0.116743	51.514479	-0.116743						
AER	1	1/8/20	Editorial Board	Esteban	Rossi-Hansberg	Princeton	USA	North America	40.343139, -74.655133	40.343139	-74.655133						
AER	1	1/8/20	Editorial Board	Emmanuel	Saez	UC Berkeley	USA	North America	37.872026, -122.258388	37.872026	-122.258388						
AER	1	1/8/20	Editorial Board	Vasiliki	Skreta	UCL	UK	Europe	51.524643, -0.134038	51.524643	-0.134038	UT Austin	USA	North America	30.284965, -97.733786	30.284965	-97.733786
AER	1	1/8/20	Editorial Board	Kathryn	Spier	Harvard, Cambridge	USA	North America	42.376971, -71.116743	42.376971	-71.116743						
AER	1	1/8/20	Editorial Board	Charles	Sprenger	UC San Diego	USA	North America	32.880223, -117.234100	32.880223	-117.2341						
AER	1	1/8/20	Editorial Board	Stefanie	Stantcheva	Harvard, Cambridge	USA	North America	42.376971, -71.116744	42.376971	-71.116744						
